Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.18813E-3,42.877230148,0.461490604,0.005396223,0.222222222,0
3.27277E-3,43.204506917,0.468008151,0.005296293,0.222222222,0
3.27855E-3,43.53236213,0.46844784,0.005196363,0.222222222,0
3.30204E-3,43.86256593,0.470225615,0.005096432,0.222222222,0
3.30876E-3,44.193441697,0.470732078,0.004996502,0.222222222,0
3.33437E-3,44.526879035,0.47265389,0.004896572,0.222222222,0
3.54354E-3,44.88123306,0.487839356,0.004796642,0.222222222,0
3.84667E-3,45.265900287,0.508356711,0.004696712,0.222222222,0
3.89097E-3,45.654997331,0.511218149,0.004596782,0.222222222,0
3.94417E-3,46.04941404,0.514610673,0.004496852,0.333333333,0
4.06899E-3,46.456313414,0.522389332,0.004396922,0.333333333,0
4.10973E-3,46.867286254,0.524874068,0.004296992,0.333333333,0
4.18414E-3,47.285700095,0.529346816,0.004197062,0.333333333,0
4.26176E-3,47.711875741,0.533923533,0.004097132,0.333333333,0
4.30542E-3,48.142417851,0.536459294,0.003997202,0.333333333,0
4.76728E-3,48.619146181,0.561683713,0.003897272,0.333333333,0
4.83838E-3,49.1029843,0.565324894,0.003797342,0.444444444,0
4.894E-3,49.592384321,0.568131445,0.003697412,0.444444444,0
4.97543E-3,50.089927119,0.572175556,0.003597482,0.444444444,0
5.01091E-3,50.591017659,0.573913949,0.003497552,0.444444444,0
5.2832E-3,51.119337817,0.586800363,0.003397622,0.444444444,0
5.29731E-3,51.649068861,0.587446857,0.003297692,0.444444444,0
5.3736E-3,52.186428609,0.590907727,0.003197762,0.555555556,0
5.66164E-3,52.752592721,0.603467775,0.003097832,0.555555556,0
6.07277E-3,53.359869996,0.620115108,0.002997901,0.555555556,0
6.34567E-3,53.994436992,0.630414216,0.002897971,0.555555556,0
6.5526E-3,54.649697181,0.637859028,0.002798041,0.555555556,0
6.67777E-3,55.317473719,0.642218228,0.002698111,0.555555556,0
